Site	Length	Width	Thickness
Chongokni	17.3	8.5	6.9
Chongokni	17.5	9.6	6.4
Chongokni	16.8	8.3	5.9
Chongokni	17.6	10.2	7.5
Chongokni	18.1	8.7	8.9
Chongokni	17.8	10.7	6.4
Chongokni	13.45	8.62	5.87
Chongokni	10.8	8	6.8
Chongokni	15.5	8.94	4.87
Chongokni	12.7	10.1	4.5
Chongokni	13.9	8.5	4.5
Chongokni	12.4	10.8	4.3
Chongokni	20	9.7	3
Chongokni	17.9	8.5	5.5
Chongokni	12.9	8.9	7.7
Chongokni	11.7	8.9	7.7
Chongokni	13	10.1	6.8
Chongokni	11	8.5	6
Chongokni	12.2	9.34	5.96
Chongokni	13	10	6.3
Chongokni	11.4	8.3	6.5
Chongokni	15.5	9.62	6.7
Chongokni	16.9	10.3	8.4
Chongokni	12.3	9	5.4
Chongokni	14.4	9.6	7.8
Chuwoli/Kawoli	16.7	9.2	5.9
Chuwoli/Kawoli	17.7	8.9	4.4
Chuwoli/Kawoli	14.6	8.5	5.1
Chuwoli/Kawoli	16.8	7.5	6
Chuwoli/Kawoli	17.9	8.4	5.3
Chuwoli/Kawoli	15.1	8	4.2
Chuwoli/Kawoli	17.1	10.6	6.4
Chuwoli/Kawoli	19.4	11.5	6.4
Chuwoli/Kawoli	17.3	10.3	5
Chuwoli/Kawoli	14.7	7.1	6.2
Chuwoli/Kawoli	13.6	10.1	4.9
Chuwoli/Kawoli	17.3	9.1	5.9
Chuwoli/Kawoli	14.7	8.9	5.3
Chuwoli/Kawoli	18.4	10.3	8.4
Chuwoli/Kawoli	20.5	12.7	7.6
Chuwoli/Kawoli	23.9	13.9	7.6
Chuwoli/Kawoli	17.9	9.4	5.8
Chuwoli/Kawoli	14.5	10	4.8
Chuwoli/Kawoli	13.9	8.5	5.5
Kumpari	12.3	8.2	4.8
Kumpari	14.3	8.8	4.6
Kumpari	17.8	10.2	6.4
Kumpari	11.3	8.2	5.7
Kumpari	21.8	11.4	6.4
Kumpari	13.3	9	6.2
Kumpari	20.7	12.4	5.9
Kumpari	15.1	11.7	6.5
Kumpari	16.3	9.3	6
Kumpari	15.9	9.8	7
Kumpari	13	10.4	6.1
Kumpari	10.1	5.8	3.1
Kumpari	10.6	7.4	4.2

