X Y
97.6470588235 5.98290598291
92.9411764706 14.5299145299
90 22.2222222222
85.2941176471 29.9145299145
80 37.6068376068
74.1176470588 46.1538461538
68.8235294118 52.9914529915
64.1176470588 58.9743589744
58.2352941176 64.9572649573
52.3529411765 70.9401709402
47.0588235294 76.0683760684
41.7647058824 81.1965811966
36.4705882353 84.6153846154
31.1764705882 88.8888888889
25.8823529412 92.3076923077
19.4117647059 95.7264957265
77.6470588235 41.0256410256
83.5294117647 33.3333333333
96.4705882353 9.40170940171
88.8235294118 24.7863247863
100 0
96.186440678 7.27272727273
91.9491525424 15.7575757576
88.9830508475 21.8181818182
85.1694915254 28.4848484848
80.9322033898 36.3636363636
78.813559322 39.3939393939
74.5762711864 46.0606060606
70.3389830508 52.1212121212
64.406779661 61.2121212121
56.7796610169 70.303030303
49.5762711864 78.1818181818
42.7966101695 84.8484848485
36.8644067797 89.696969697
31.7796610169 93.3333333333
26.2711864407 97.5757575758
21.186440678 100
61.4406779661 64.8484848485
68.2203389831 55.7575757576
53.813559322 73.3333333333
